Designator,Footprint,Quantity,Value,LCSC Part #
"C14_2, C14, C19_2, C19, C20_2, C20, C21_2, C21",0805,8,10u,
"C15_2, C15, C16_2, C16, C17_2, C17, C18_2, C18",CP_Elec_6.3x7.7,8,47u,
"C22_2, C22, C23_2, C23, C24_2, C24, C25_2, C25, C26_2, C26, C27_2, C27",0805,12,1u,
"D1_2, D1, D2_2, D2, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6",D_SOD-123F,12,7v5,
"J6_2, J6",PinHeader_2x25_P2.54mm_Horizontal,2,Conn_02x25_Odd_Even,
"JBlue1_2, JBlue1, JGreen1_2, JGreen1, JH1_2, JH1, JRed1_2, JRed1, JV1_2, JV1",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal_smallerpads,10,Conn_Coaxial,
"JLeft1_2, JLeft1, JRight1_2, JRight1",Cheapo_RCA_single_edge,4,Conn_Coaxial,
"Q1_2, Q1, Q2_2, Q2, Q3_2, Q3, Q4_2, Q4, Q5_2, Q5, Q6_2, Q6",SOT-23,12,mmbt3904,
"R1_2, R1, R2_2, R2",0805,4,1k,
"R12_2, R12, R13_2, R13, R14_2, R14, R15_2, R15, R18_2, R18",0805,10,75,
"R19_2, R19, R20_2, R20, R21_2, R21, R22_2, R22, R23_2, R23, R24_2, R24, R43_2, R43, R44_2, R44, R45_2, R45, R46_2, R46, R47_2, R47, R48_2, R48",0805,24,100,
"R25_2, R25, R27_2, R27, R29_2, R29",0805,6,56k,
"R26_2, R26, R28_2, R28, R30_2, R30, R31_2, R31, R32_2, R32, R33_2, R33, R34_2, R34, R35_2, R35, R36_2, R36",0805,18,33k,
"R37_2, R37, R38_2, R38, R39_2, R39",0805,6,390,
"R40_2, R40, R41_2, R41, R42_2, R42",0805,6,2k7,
"U1_2, U1",SOT-223-3_TabPin2,2,AMS1117-5.0,
"U4_2, U4",SCART_CONN,2,SCART_CONN,
