Designator,Mid X,Mid Y,Rotation,Layer
C14_2,-8.5,-173.5,0.0,top
C14,-8.5,-40.5,0.0,top
C15_2,-18.1,-169.0,180.0,top
C15,-18.1,-36.0,180.0,top
C16_2,-29.0,-92.0,0.0,top
C16,-29.0,41.0,0.0,top
C17_2,-29.0,-108.0,0.0,top
C17,-29.0,25.0,0.0,top
C18_2,-29.0,-124.0,0.0,top
C18,-29.0,9.0,0.0,top
C19_2,-32.0,-140.0,0.0,top
C19,-32.0,-7.0,0.0,top
C20_2,-32.0,-156.0,0.0,top
C20,-32.0,-23.0,0.0,top
C21_2,-47.0,-175.0,0.0,top
C21,-47.0,-42.0,0.0,top
C22_2,-19.0,-152.0,0.0,top
C22,-19.0,-19.0,0.0,top
C23_2,-19.025,-136.0,0.0,top
C23,-19.025,-3.0,0.0,top
C24_2,-17.0,-120.0,0.0,top
C24,-17.0,13.0,0.0,top
C25_2,-17.0,-104.0,0.0,top
C25,-17.0,29.0,0.0,top
C26_2,-36.0,-171.0,0.0,top
C26,-36.0,-38.0,0.0,top
C27_2,-17.0,-88.0,0.0,top
C27,-17.0,45.0,0.0,top
D1_2,-28.5,-98.0,180.0,top
D1,-28.5,35.0,180.0,top
D2_2,-28.5,-114.0,180.0,top
D2,-28.5,19.0,180.0,top
D3_2,-28.5,-130.0,180.0,top
D3,-28.5,3.0,180.0,top
D4_2,-29.5,-144.0,180.0,top
D4,-29.5,-11.0,180.0,top
D5_2,-29.5,-160.0,180.0,top
D5,-29.5,-27.0,180.0,top
D6_2,-46.5,-179.0,180.0,top
D6,-46.5,-46.0,180.0,top
J6_2,106.15,-135.975,0.0,top
J6,106.15,-2.975,0.0,top
JBlue1_2,-59.55,-124.0,90.0,top
JBlue1,-59.55,9.0,90.0,top
JGreen1_2,-59.55,-108.0,90.0,top
JGreen1,-59.55,25.0,90.0,top
JH1_2,-59.55,-140.0,90.0,top
JH1,-59.55,-7.0,90.0,top
JLeft1_2,-57.095,-175.0,90.0,top
JLeft1,-57.095,-42.0,90.0,top
JRed1_2,-59.55,-92.0,90.0,top
JRed1,-59.55,41.0,90.0,top
JRight1_2,-57.095,-188.0,90.0,top
JRight1,-57.095,-55.0,90.0,top
JV1_2,-59.55,-156.0,90.0,top
