Comment,Designator,Footprint,LCSC, LCSC
"47u","C16,C17,C18,C15","Capacitor_SMD:CP_Elec_6.3x7.7","","C249976"
"10u","C19,C20,C21,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C15850"
"1u","C22,C23,C24,C25,C26,C27","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C28323"
"7v5","D1,D2,D3,D4,D5,D6","Diode_SMD:D_SOD-123F",""," C123796"
"MountingHole","H1,H2","MountingHole:MountingHole_3.2mm_M3","","NOT FITTED"
"Conn_02x25_Odd_Even","J6","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Horizontal","","NOT FITTED"
"Conn_Coaxial","JRed1,JGreen1,JBlue1,JH1,JV1","Connector_Coaxial:BNC_Amphenol_B6252HB-NPP3G-50_Horizontal","","NOT FITTED"
"Conn_Coaxial","JRight1,JLeft1","videobits:Cheapo_RCA_single_edge","","NOT FITTED"
"mmbt3904","Q1,Q2,Q3,Q4,Q5,Q6","Package_TO_SOT_SMD:SOT-23","","C20526"
"1k","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17513"
"75","R12,R13,R14,R15,R18","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C20638"
"56k","R25,R27,R29","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17756"
"33k","R26,R28,R30,R32,R31,R34,R33,R36,R35","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17633"
"390","R37,R38,R39","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17655"
"2k7","R40,R41,R42","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17530"
"100","R43,R19,R44,R20,R45,R21,R46,R22,R47,R23,R48,R24","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17408"
"AMS1117-5.0","U1","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","C6187"
"SCART_CONN","U4","custom_components:SCART_CONN","","NOT FITTED"
