Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C14","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-8.500000,-40.500000,0.000000,top
"C14","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-8.500000,-173.500000,0.000000,top
"C15","47u","CP_Elec_6.3x7.7",-18.100000,-169.000000,0.000000,top
"C15","47u","CP_Elec_6.3x7.7",-18.100000,-36.000000,0.000000,top
"C16","47u","CP_Elec_6.3x7.7",-29.000000,41.000000,180.000000,top
"C16","47u","CP_Elec_6.3x7.7",-29.000000,-92.000000,180.000000,top
"C17","47u","CP_Elec_6.3x7.7",-29.000000,25.000000,180.000000,top
"C17","47u","CP_Elec_6.3x7.7",-29.000000,-108.000000,180.000000,top
"C18","47u","CP_Elec_6.3x7.7",-29.000000,-124.000000,180.000000,top
"C18","47u","CP_Elec_6.3x7.7",-29.000000,9.000000,180.000000,top
"C19","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-32.000000,-7.000000,0.000000,top
"C19","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-32.000000,-140.000000,0.000000,top
"C20","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-32.000000,-156.000000,0.000000,top
"C20","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-32.000000,-23.000000,0.000000,top
"C21","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.000000,-42.000000,0.000000,top
"C21","10u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-47.000000,-175.000000,0.000000,top
"C22","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.000000,-152.000000,0.000000,top
"C22","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.000000,-19.000000,0.000000,top
"C23","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.025000,-136.000000,0.000000,top
"C23","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-19.025000,-3.000000,0.000000,top
"C24","1u","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-17.000000,-120.000000,0.000000,top
