Comment,Designator,Footprint,LCSC,Quantity
7v5,"D1,D2,D3,D4,D5,D6",D_SOD-123F,C123796,6
10u,"C14,C19,C20,C21",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C15850,4
100,"R19,R20,R21,R22,R23,R24,R43,R44,R45,R46,R47,R48",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17408,12
1k,"R1,R2",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17513,2
2k7,"R40,R41,R42",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17530,3
33k,"R26,R28,R30,R31,R32,R33,R34,R35,R36",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17633,9
390,"R37,R38,R39",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17655,3
56k,"R25,R27,R29",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17756,3
75,"R12,R13,R14,R15,R18",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17820,5
mmbt3904,"Q1,Q2,Q3,Q4,Q5,Q6",SOT-23,C20526,6
1u,"C22,C23,C24,C25,C26,C27",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323,6
47u,"C15,C16,C17,C18",CP_Elec_6.3x7.7,C5246594,4
AMS1117-5.0,U1,SOT-223-3_TabPin2,C6187,1
Conn_Coaxial,JV1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,,1
Conn_Coaxial,JRed1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,,1
Conn_Coaxial,JH1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,,1
Conn_Coaxial,JGreen1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,,1
Conn_Coaxial,JBlue1,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal-x4mmhole,,1
SCART_CONN,U4,SCART_CONN,,1
Conn_Coaxial,JRight1,Cheapo_RCA_single_edge,,1
Conn_Coaxial,JLeft1,Cheapo_RCA_single_edge,,1
Conn_02x25_Odd_Even,J6,PinHeader_2x25_P2.54mm_Horizontal,,1
MountingHole,H2,MountingHole_3.2mm_M3,,1
MountingHole,H1,MountingHole_3.2mm_M3,,1
